jeu_donnees,L1_taille,cpi,ipc,numCycles,icache_miss,dcache_miss,l2_miss,bp_cond_mispredict_rate,btb_hit_ratio,bp_mispredict_rate
small,2kB,0.994771,1.005257,3565750,0.105046,0.197994,0.009336,0.120009,0.984986,0.064675
small,4kB,0.93462,1.069954,3350138,0.020642,0.139202,0.015349,0.119376,0.985113,0.063424
small,8kB,0.775238,1.289926,2778837,0.002328,0.038139,0.076463,0.119102,0.984947,0.063766
small,16kB,0.759919,1.31593,2723925,0.001873,0.033384,0.098483,0.119077,0.984858,0.063734
small,32kB,0.705674,1.417086,2529483,0.001653,0.003396,0.916141,0.119111,0.984712,0.064294
large,2kB,0.946,1.057082,12477740,0.110966,0.182457,0.002617,0.125696,0.987871,0.06722
large,4kB,0.885841,1.128871,11684240,0.019933,0.129069,0.004377,0.124997,0.988023,0.065843
large,8kB,0.737859,1.355272,9732357,0.000678,0.03564,0.02155,0.124732,0.987939,0.066244
large,16kB,0.721735,1.385551,9519675,0.000506,0.030738,0.028436,0.124724,0.987927,0.06622
large,32kB,0.667714,1.497646,8807150,0.000447,0.000994,0.786074,0.124786,0.987838,0.066819
