
---------- Begin Simulation Statistics ----------
simSeconds                                   0.004404                       # Number of seconds simulated (Second)
simTicks                                   4403574500                       # Number of ticks simulated (Tick)
finalTick                                  4403574500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     21.20                       # Real time elapsed on the host (Second)
hostTickRate                                207672747                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2241480                       # Number of bytes of host memory used (Byte)
simInsts                                     13189994                       # Number of instructions simulated (Count)
simOps                                       13190041                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   622038                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     622040                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          8807150                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.667714                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.497646                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        13538764                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      221                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       13527753                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                      3                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               348943                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            311120                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  77                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             8768753                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.542723                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.353420                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   2505060     28.57%     28.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   2250164     25.66%     54.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1789783     20.41%     74.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1335755     15.23%     89.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    770960      8.79%     98.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     95299      1.09%     99.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     21703      0.25%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                        27      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                         2      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               8768753                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.00% # attempts to use FU when none available (Count)
