jeu_donnees,L1_taille,cpi,ipc,numCycles,icache_miss,dcache_miss,l2_miss,bp_cond_mispredict_rate,btb_hit_ratio,bp_mispredict_rate
small,1kB,4.304412,0.23232,197723918,0.141294,0.235144,0.001019,0.016307,0.976652,0.011636
small,2kB,4.105816,0.243557,188601393,0.115021,0.169183,0.001334,0.016351,0.980197,0.011701
small,4kB,3.938584,0.253898,180919543,0.064913,0.128799,0.001892,0.016305,0.976661,0.011648
small,8kB,3.629826,0.275495,166736702,0.008864,0.060773,0.004744,0.016286,0.977242,0.011606
small,16kB,3.538123,0.282636,162524314,0.004048,0.040638,0.007363,0.016286,0.977234,0.011606
large,1kB,4.310197,0.232008,878907849,0.046607,0.236957,0.000281,0.010267,0.991305,0.008236
large,2kB,4.166633,0.240002,849633194,0.037501,0.191655,0.000339,0.010273,0.992101,0.008247
large,4kB,3.995863,0.250259,814810922,0.017283,0.150322,0.000451,0.010265,0.991308,0.008238
large,8kB,3.679907,0.271746,750383013,0.00298,0.077021,0.000924,0.010262,0.991422,0.00823
large,16kB,3.585877,0.278872,731209053,0.001091,0.055441,0.001312,0.010262,0.99142,0.00823
