jeu_donnees,L1_taille,cpi,numCycles,dossier_sortie
small,1kB,4.324513,198841268,/home/santiago/archmic/Tp4/dijkstra/runs_L1_A7/dijkstra_small_L1_1kB
small,2kB,4.140907,190399056,/home/santiago/archmic/Tp4/dijkstra/runs_L1_A7/dijkstra_small_L1_2kB
small,4kB,3.955854,181890341,/home/santiago/archmic/Tp4/dijkstra/runs_L1_A7/dijkstra_small_L1_4kB
small,8kB,3.639198,167330452,/home/santiago/archmic/Tp4/dijkstra/runs_L1_A7/dijkstra_small_L1_8kB
small,16kB,3.546358,163061700,/home/santiago/archmic/Tp4/dijkstra/runs_L1_A7/dijkstra_small_L1_16kB
large,1kB,4.304485,878719515,/home/santiago/archmic/Tp4/dijkstra/runs_L1_A7/dijkstra_large_L1_1kB
large,2kB,4.161629,849556869,/home/santiago/archmic/Tp4/dijkstra/runs_L1_A7/dijkstra_large_L1_2kB
large,4kB,3.986324,813770118,/home/santiago/archmic/Tp4/dijkstra/runs_L1_A7/dijkstra_large_L1_4kB
large,8kB,3.669670,749128182,/home/santiago/archmic/Tp4/dijkstra/runs_L1_A7/dijkstra_large_L1_8kB
large,16kB,3.574944,729790660,/home/santiago/archmic/Tp4/dijkstra/runs_L1_A7/dijkstra_large_L1_16kB
