
---------- Begin Simulation Statistics ----------
simSeconds                                   0.141603                       # Number of seconds simulated (Second)
simTicks                                 141603239500                       # Number of ticks simulated (Tick)
finalTick                                141603239500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    452.35                       # Real time elapsed on the host (Second)
hostTickRate                                313041257                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2241536                       # Number of bytes of host memory used (Byte)
simInsts                                    204140467                       # Number of instructions simulated (Count)
simOps                                      204140524                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   451292                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     451292                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        283206480                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.387312                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.720818                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       206982158                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    17628                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      205674003                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     13                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              2859261                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1950277                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               16306                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           283061734                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.726605                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.034087                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 167385719     59.13%     59.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  55628224     19.65%     78.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  32566071     11.50%     90.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  25628674      9.05%     99.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1396820      0.49%     99.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    334408      0.12%     99.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     84555      0.03%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     37139      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                       124      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             283061734                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                      19      0.03%      0.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      0.03% # attempts to use FU when none available (Count)
