
---------- Begin Simulation Statistics ----------
simSeconds                                   0.031737                       # Number of seconds simulated (Second)
simTicks                                  31736667000                       # Number of ticks simulated (Tick)
finalTick                                 31736667000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    109.38                       # Real time elapsed on the host (Second)
hostTickRate                                290154730                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2241536                       # Number of bytes of host memory used (Byte)
simInsts                                     45935174                       # Number of instructions simulated (Count)
simOps                                       45935231                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   419965                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     419966                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         63473336                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.381802                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.723692                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        47047439                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    21466                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       46745453                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                      7                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1133673                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            473901                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               21099                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            63346021                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.737938                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.076429                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  38131791     60.20%     60.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  11235009     17.74%     77.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   7547326     11.91%     89.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   5603289      8.85%     98.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    605413      0.96%     99.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    165912      0.26%     99.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     46479      0.07%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     10577      0.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                       225      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              63346021                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       4      0.01%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.01% # attempts to use FU when none available (Count)
